הסבר,אחוזים,קטגוריה,משפט קצר,מקורות,צבע
נשים שדיווחו על מצוקה נפשית מתמשכת,68%,מצב נפשי,מצוקה נפשית מתמשכת,"הדוח המקיף נערך על ידי ארגון Polly Labs, המשתמש בטכנולוגיות קיימות כדי לפתח פתרונות חדשניים לאתגרים חברתיים, בשיתוף פורום נשות המילואים ועמותת לוחמים/ות בעורף",002AA6
נשים שהעידו על תסמיני דיכאון משמעותיים,40%,מצב נפשי,תסמיני דיכאון משמעותיים,"מחקר שנערך על ידי אוניברסיטת אריאל בשיתוף פעולה עם עמותת ""מאמאטכ""ל""",3961B9
נשים דיווחו על תסמיני חרדה משמעותיים,25%,מצב נפשי,תסמיני חרדה משמעותיים,"מחקר שנערך על ידי אוניברסיטת אריאל בשיתוף פעולה עם עמותת ""מאמאטכ""ל""",5678FF
"נשים שצרכו חומרים משני תודעה (במרשם או ללא מרשם), שלא צרכו קודם לכן ו/או במינון גבוה יותר",30%,מצב נפשי,"צריכת חומרים משני תודעה (במרשם או ללא מרשם), שלא נצרכו קודם לכן ו/או במינון גבוה יותר",סקר רגשי שערך הפורום ״נלחמות על הבית- פורום נשות המילואים״,9ABDFF
לא הצליחו לשמור על אורח חיים בריא,60%,מצב פיזי,לא הצליחו לשמור על אורח חיים בריא,סקר של ״אסותא״ שנערך בקרב מדגם מייצג של 500 בני משפחות של משרתי המילואים,7148B2
נשים שחוו ירידה או עלייה משמעותית במשקל,79%,מצב פיזי,ירידה או עלייה משמעותית במשקל,סקר רגשי שערך הפורום ״נלחמות על הבית- פורום נשות המילואים״,8175A0
נשים שויתרו על בדיקות רפואיות שיגרתיות,40%,מצב פיזי,ויתור על בדיקות רפואיות שיגרתיות,סקר של ״אסותא״ שנערך בקרב מדגם מייצג של 500 בני משפחות של משרתי המילואים,B8B5CF
נשים שדיווחו שהזוגיות נפגעה בעקבות שירות המילואים,40%,מצב זוגי,הזוגיות נפגעה בעקבות שירות המילואים,סקר של ״אסותא״ שנערך בקרב מדגם מייצג של 500 בני משפחות של משרתי המילואים,FF4545
זוגות שקלו להתגרש,25%,מצב זוגי,זוגות שקלו להתגרש,"הדוח המקיף נערך על ידי ארגון Polly Labs, המשתמש בטכנולוגיות קיימות כדי לפתח פתרונות חדשניים לאתגרים חברתיים, בשיתוף פורום נשות המילואים ועמותת לוחמים/ות בעורף",F48282
אמהות שדיווחו על שינוי התנהגותי אצל ילדיהם,85%-92%,מצב הילדים, שינוי התנהגותי אצל הילדים,"הדוח המקיף נערך על ידי ארגון Polly Labs, המשתמש בטכנולוגיות קיימות כדי לפתח פתרונות חדשניים לאתגרים חברתיים, בשיתוף פורום נשות המילואים ועמותת לוחמים/ות בעורף",D35800
אמהות שדיווחו עלייה בתדירות הבכי,83%,מצב הילדים,עלייה בתדירות הבכי,"סקר בדבר מצבן הנפשי של נשות ומשפחות המילואימניקים, שערכנו בקרב 1,500 חברות הפורום ״נלחמות על הבית- פורום נשות המילואים״ ובשיתוף מכון 'מאגר מוחות'",FF9245
"אמהות שהעידו על שינויים באופי השינה של הילדים, כולל קשיי הירדמות ושינה פחותה",73%,מצב הילדים,"שינויים באופי של, כולל קשיי הירדמות ושינה פחותה","סקר בדבר מצבן הנפשי של נשות ומשפחות המילואימניקים, שערכנו בקרב 1,500 חברות הפורום ״נלחמות על הבית- פורום נשות המילואים״ ובשיתוף מכון 'מאגר מוחות'",DC854E
"אמהות שהעידו על שינויים בלימודים, כולל קשיי ריכוז והידרדרות בהישגים",54%,מצב הילדים,"שינויים בלימודים, כולל קשיי ריכוז והידרדרות בהישגים","סקר בדבר מצבן הנפשי של נשות ומשפחות המילואימניקים, שערכנו בקרב 1,500 חברות הפורום ״נלחמות על הבית- פורום נשות המילואים״ ובשיתוף מכון 'מאגר מוחות'",FEAB26
אמהות שהעידו על שינוי לרעה במצב הנפשי של ילדיהן,79%,מצב הילדים,שינוי לרעה במצב הנפשי,"סקר בדבר מצבן הנפשי של נשות ומשפחות המילואימניקים, שערכנו בקרב 1,500 חברות הפורום ״נלחמות על הבית- פורום נשות המילואים״ ובשיתוף מכון 'מאגר מוחות'",F4CA82
נשים שהעידו שמצבן התעסוקתי השתנה,45%,מצב תעסוקתי,שינוי בסטטוס תעסוקתי,"סקר תעסוקה שערך הפורום ״נלחמות על הבית- פורום נשות המילואים״ בחודש מרץ 2025, בקרב 1849 משרתי מילואים ובני/ות זוג.",30766A
נשים שכירות שפוטרו מעבודתן,23%,מצב תעסוקתי,פיטורים מהעבודה,"סקר תעסוקה שערך הפורום ״נלחמות על הבית- פורום נשות המילואים״ בחודש מרץ 2025, בקרב 1849 משרתי מילואים ובני/ות זוג.",5C7E7C
נשים שכירות שהוצאו לחל״ת,17%,מצב תעסוקתי,יציאה  לחל״ת מהעבודה,"סקר תעסוקה שערך הפורום ״נלחמות על הבית- פורום נשות המילואים״ בחודש מרץ 2025, בקרב 1849 משרתי מילואים ובני/ות זוג.",48B29E
הפחיתו שעות עבודה על חשבונן,72%,מצב תעסוקתי,הפחתת שעות עבודה על חשבונן,"סקר שערך הפורום ״נלחמות על הבית- פורום נשות המילואים״ בשיתוף עם מכון המחקר ""מאגר מוחות""",75A07C
משכורת ירדה בשליש,20%,מצב תעסוקתי,משכורת ירדה בשליש,"סקר שערך הפורום ״נלחמות על הבית- פורום נשות המילואים״ בשיתוף עם מכון המחקר ""מאגר מוחות""",79B4A7
ניצלו ימי חופשה מהמכסה הפרטית,64%,מצב תעסוקתי,ניצול ימי חופשה מהמכסה הפרטית,"סקר שערך הפורום ״נלחמות על הבית- פורום נשות המילואים״ בשיתוף עם מכון המחקר ""מאגר מוחות""",B5CFB9
